コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー,平均視聴時間,平均視聴率 (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
UZlYAtlgyz8,【ラッシュフォード】本格的に最後のシーズンになりそうだね,"Dec 18, 2024",557,,,,,0,,,,,,,4,0
V8CBvj5vkx4,エンベウモの次のお話、シェシュコやらバレバやらワトキンスやら【マンチェスターユナイテッド】,"Jul 24, 2025",1147,,,,,0,,,,,,,19,0
W0gYHcbPXGw,モウリーニョ復帰！？個人的には〇〇です。,"Feb 1, 2024",441,,,,,0,,,,,,,2,0
WDElwixNw1o,garnacho really reminds me of a certain someone... #マンチェスターユナイテッド #garnacho #kaka,"Dec 27, 2023",16,,,,,0,,,,,,,1,0
WNGU9UQ-k6Q,スコット・マクトミネイの起用法 #サッカー #マンチェスターユナイテッド,"Nov 22, 2023",58,,,,,0,,,,,,,6,0
WTnRhR_1XUg,【ラッシュフォード】ラッシュフォード不調のわけ,"Jun 19, 2024",674,,,,,0,,,,,,,2,0
WXIf5EeTxrc,朝9時まで、おはようしつつ雑談。勉強だるい人による一休み配信。,,4503,,,,,0,,,,,,,1,0
Wt9RIqWA6JI,エンベウモ加入間近！？来季ユナイテッドの2大エースのお話【マンチェスターユナイテッド】,"Jun 25, 2025",633,,,,,0,,,,,,,11,0
WuS-iLSvXUM,【ネタ】サッカーファンに対する偏見,"Jul 27, 2024",59,,,,,0,,,,,,,21,0
XPao-EJEaWk,rashford decided to turn his godmode on ig,"Jul 26, 2023",6,,,,,0,,,,,,,3,0
XrJqfm1ZHvQ,【マンチェスターユナイテッド】アーセナル(疑似ストーク)に負けましたね。全てが足りないわ。現状確認完了,"Dec 5, 2024",381,,,,,0,,,,,,,3,0
YBt-HmeVEL8,夏移籍の補強候補たち【マンチェスターユナイテッド】,"Apr 1, 2025",751,,,,,0,,,,,,,10,0
